code,name,open_date,close_date,hold_days,qty,buy_price,sell_price,pnl_gross,cost,pnl_net,pnl_pct,note
000528,柳 工,2026-07-06,2026-07-07,1.0,4500,8.28,8.46,810.0,31.4,778.6,2.17,
000528,柳 工,2026-07-06,2026-07-07,1.0,4600,8.28,8.28,0.0,31.54,-31.54,0.0,
001283,豪鹏科技,2026-07-06,2026-07-07,1.0,1400,50.53,49.5,-1442.0,57.6,-1499.6,-2.04,
002171,楚江新材,,2026-07-01,,3100,,13.98,,,,,unmatched_sell_prior_position
002171,楚江新材,,2026-07-02,,3100,,14.13,,,,,unmatched_sell_prior_position
002205,国统股份,2026-07-06,2026-07-07,1.0,900,10.93,10.47,-414.0,14.9,-428.9,-4.21,
300689,澄天伟业,2026-07-02,2026-07-06,4.0,300,69.57,66.31,-978.0,18.6,-996.6,-4.69,
300689,澄天伟业,2026-07-02,2026-07-06,4.0,100,69.57,66.26,-331.0,9.52,-340.52,-4.76,
300689,澄天伟业,2026-07-02,2026-07-06,4.0,100,69.57,66.22,-335.0,5.54,-340.54,-4.82,
300689,澄天伟业,2026-07-02,2026-07-06,4.0,100,68.37,66.22,-215.0,9.47,-224.47,-3.14,
300689,澄天伟业,,2026-07-06,,500,,66.22,,,,,unmatched_sell_prior_position
300723,一品红,,2026-07-01,,1400,,40.43,,,,,unmatched_sell_prior_position
300723,一品红,,2026-07-02,,1400,,40.87,,,,,unmatched_sell_prior_position
300723,一品红,2026-07-02,2026-07-06,4.0,100,40.65,40.8,15.0,7.75,7.25,0.37,
300723,一品红,2026-07-02,2026-07-06,4.0,300,40.11,40.8,207.0,13.25,193.75,1.72,
300723,一品红,2026-07-02,2026-07-06,4.0,1100,40.09,40.8,781.0,37.03,743.97,1.77,
600522,中天科技,2026-07-01,2026-07-08,7.0,1000,54.93,46.15,-8780.0,39.66,-8819.66,-15.98,
600522,中天科技,2026-07-06,2026-07-08,2.0,400,47.89,46.15,-696.0,17.45,-713.45,-3.63,
600567,山鹰国际,,2026-07-03,,68900,,1.4,,,,,unmatched_sell_prior_position
600567,山鹰国际,,2026-07-06,,68900,,1.38,,,,,unmatched_sell_prior_position
688122,西部超导,2026-07-01,2026-07-06,5.0,732,60.35,56.523,-2801.36,34.72,-2836.08,-6.34,
688122,西部超导,,2026-07-06,,739,,56.523,,,,,unmatched_sell_prior_position
688122,西部超导,,2026-07-07,,1472,,54.65,,,,,unmatched_sell_prior_position
